Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
27/03/25,00:00:16,25.3,73.2,942.6,640,0.31,0.0
27/03/25,00:05:16,25.3,73.2,942.6,633,0.31,0.0
27/03/25,00:10:16,25.1,68.5,942.5,642,0.31,0.0
27/03/25,00:15:16,24.5,63.0,942.5,632,0.31,0.0
27/03/25,00:20:16,24.5,70.4,942.4,634,0.31,0.0
27/03/25,00:25:16,24.5,73.9,942.5,634,0.31,0.0
27/03/25,00:30:16,24.6,75.5,942.5,637,0.31,0.0
27/03/25,00:35:16,24.5,76.9,942.4,630,0.31,0.0
27/03/25,00:40:16,24.6,76.8,942.4,629,0.31,0.0
27/03/25,00:45:16,24.6,76.4,942.4,625,0.31,0.0
27/03/25,00:50:16,24.7,75.6,942.4,633,0.31,0.0
27/03/25,00:55:16,24.8,75.0,942.4,631,0.31,0.0
27/03/25,01:00:16,24.8,74.7,942.3,636,0.31,0.0
27/03/25,01:05:16,24.9,74.3,942.3,635,0.31,0.0
27/03/25,01:10:16,25.0,74.0,942.2,627,0.31,0.0
27/03/25,01:15:16,24.9,73.8,942.2,624,0.31,0.0
27/03/25,01:20:16,25.0,73.5,942.2,628,0.31,0.0
27/03/25,01:25:15,25.0,73.4,942.1,628,0.31,0.0
27/03/25,01:30:15,25.2,73.0,942.2,631,0.31,0.0
27/03/25,01:35:15,25.1,72.9,942.1,621,0.31,0.0
27/03/25,01:40:15,25.2,72.7,942.0,623,0.31,0.0
27/03/25,01:45:15,25.2,72.5,942.0,630,0.31,0.0
27/03/25,01:50:15,25.2,72.4,942.0,624,0.31,0.0
27/03/25,01:55:15,25.2,72.3,942.0,621,0.31,0.0
27/03/25,02:00:15,24.7,61.7,941.9,622,0.31,0.0
27/03/25,02:05:15,24.5,66.9,941.9,614,0.31,0.0
27/03/25,02:10:15,24.5,71.7,941.8,625,0.31,0.0
27/03/25,02:15:15,24.5,74.3,941.9,628,0.31,0.0
27/03/25,02:20:15,24.5,75.5,941.9,633,0.31,0.0
27/03/25,02:25:15,24.5,76.1,941.9,624,0.31,0.0
27/03/25,02:30:15,24.6,75.7,941.8,620,0.31,0.0
27/03/25,02:35:15,24.7,74.8,941.8,621,0.31,0.0
27/03/25,02:40:15,24.7,74.5,941.8,624,0.31,0.0
27/03/25,02:45:15,24.8,74.0,941.8,627,0.31,0.0
27/03/25,02:50:15,24.9,73.5,941.8,631,0.31,0.0
27/03/25,02:55:15,24.9,73.3,941.8,621,0.31,0.0
27/03/25,03:00:15,24.9,73.1,941.7,627,0.31,0.0
27/03/25,03:05:15,25.0,72.7,941.5,618,0.31,0.0
27/03/25,03:10:15,25.0,72.5,941.5,619,0.31,0.0
27/03/25,03:15:15,25.0,72.5,941.6,618,0.31,0.0
27/03/25,03:20:15,25.1,72.2,941.5,625,0.31,0.0
27/03/25,03:25:15,25.1,71.9,941.5,618,0.31,0.0
27/03/25,03:30:15,25.2,71.8,941.4,620,0.31,0.0
27/03/25,03:35:15,25.1,71.8,941.3,617,0.31,0.0
27/03/25,03:40:15,25.2,71.8,941.3,622,0.31,0.0
27/03/25,03:45:15,25.2,71.4,941.3,624,0.31,0.0
27/03/25,03:50:15,25.2,71.5,941.3,627,0.31,0.0
27/03/25,03:55:15,25.3,71.1,941.3,619,0.31,0.0
27/03/25,04:00:15,25.3,70.9,941.4,626,0.31,0.0
27/03/25,04:05:15,25.3,70.9,941.5,624,0.31,0.0
27/03/25,04:10:15,25.1,64.8,941.5,617,0.31,0.0
27/03/25,04:15:15,24.6,64.6,941.4,622,0.31,0.0
27/03/25,04:20:15,24.6,70.0,941.5,619,0.31,0.0
27/03/25,04:25:14,24.6,72.6,941.6,621,0.31,0.0
27/03/25,04:30:14,24.6,74.1,941.7,633,0.31,0.0
27/03/25,04:35:14,24.6,74.6,941.7,622,0.31,0.0
27/03/25,04:40:14,24.7,74.2,941.7,626,0.31,0.0
27/03/25,04:45:14,24.8,73.3,941.7,633,0.31,0.0
27/03/25,04:50:14,24.8,73.0,941.8,624,0.31,0.0
27/03/25,04:55:14,24.9,72.4,941.7,621,0.31,0.0
27/03/25,05:00:14,24.9,72.5,941.7,625,0.31,0.0
27/03/25,05:05:14,25.0,71.8,941.8,619,0.31,0.0
27/03/25,05:10:14,25.0,71.8,941.8,625,0.31,0.0
27/03/25,05:15:14,25.1,71.4,941.9,622,0.31,0.0
27/03/25,05:20:14,25.0,71.7,941.9,631,0.31,0.0
27/03/25,05:25:14,25.1,71.0,941.9,620,0.31,0.0
27/03/25,05:30:14,25.1,71.2,942.0,631,0.31,0.0
27/03/25,05:35:14,25.2,70.7,942.0,630,0.31,0.0
27/03/25,05:40:14,25.1,71.0,942.1,625,0.31,0.0
27/03/25,05:45:14,25.2,70.5,942.2,626,0.31,0.0
27/03/25,05:50:14,25.2,70.7,942.2,629,0.31,0.0
27/03/25,05:55:14,25.3,70.1,942.2,629,0.31,0.0
27/03/25,06:00:14,26.7,63.7,942.3,627,0.31,0.0
27/03/25,06:05:14,27.1,50.3,942.3,617,0.31,0.0
27/03/25,06:10:14,27.8,56.8,942.3,607,0.31,0.0
27/03/25,06:15:14,27.8,48.3,942.4,606,0.31,0.0
27/03/25,06:20:14,28.0,52.1,942.5,612,0.31,0.0
